origin_block;626,71,-95
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],625,77,-95
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],626,77,-95
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],627,77,-95
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],628,77,-95
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],625,78,-95
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],626,78,-95
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],627,78,-95
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],626,74,-94
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],624,75,-94
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],625,75,-94
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],626,75,-94
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],627,75,-94
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],628,75,-94
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],624,76,-94
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],625,76,-94
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],626,76,-94
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],627,76,-94
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],628,76,-94
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],624,77,-94
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],625,77,-94
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],626,77,-94
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],627,77,-94
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],628,77,-94
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],626,78,-94
minecraft:short_grass,627,71,-93
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],625,75,-93
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],626,75,-93
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],627,75,-93
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],625,76,-93
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],626,76,-93
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],627,76,-93
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],625,77,-93
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],626,77,-93
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],627,77,-93
