origin_block;599,72,-2
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],594,85,-3
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],595,79,-3
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],595,80,-5
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],595,80,-4
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],595,80,-3
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],595,80,-2
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],595,80,-1
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],595,81,-5
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],595,81,-4
minecraft:oak_log[axis=x],595,81,-3
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],595,81,-2
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],595,81,-1
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],595,82,-5
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],595,82,-4
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],595,82,-3
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],595,82,-2
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],595,82,-1
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],595,83,-5
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],595,83,-4
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],595,83,-3
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],595,83,-2
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],595,83,-1
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],595,84,-5
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],595,84,-4
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],595,84,-3
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],595,84,-2
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],595,84,-1
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],595,85,-4
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],595,85,-3
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],595,85,-2
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],596,79,-4
minecraft:oak_log[axis=x],596,79,-3
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],596,79,-2
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],596,80,-5
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],596,80,-4
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],596,80,-3
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],596,80,-2
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],596,80,-1
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],596,81,-5
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],596,81,-4
minecraft:oak_log[axis=x],596,81,-3
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],596,81,-2
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],596,81,-1
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],596,82,-5
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],596,82,-4
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],596,82,-3
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],596,82,-2
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],596,82,-1
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],596,83,-5
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],596,83,-4
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],596,83,-3
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],596,83,-2
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],596,83,-1
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],596,84,-5
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],596,84,-4
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],596,84,-3
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],596,84,-2
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],596,84,-1
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],596,85,-3
minecraft:oak_log[axis=x],597,78,-3
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],597,79,-3
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],597,80,-5
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],597,80,-4
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],597,80,-3
minecraft:oak_log[axis=x],597,80,-2
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],597,80,-1
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],597,81,-5
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],597,81,-4
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],597,81,-3
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],597,81,-2
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],597,81,-1
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],597,82,-5
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],597,82,-4
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],597,82,-3
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],597,82,-2
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],597,82,-1
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],597,83,-4
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],597,83,-3
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],597,83,-2
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],597,83,-1
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],597,84,-4
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],597,84,-3
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],597,84,-2
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],597,84,-1
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],597,85,-3
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],597,85,-2
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],597,85,-1
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],598,78,-5
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],598,78,-4
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],598,78,-3
minecraft:oak_log[axis=x],598,78,-2
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],598,79,-5
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],598,79,-4
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],598,79,-3
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],598,80,-5
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],598,80,-4
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],598,80,-3
minecraft:oak_log[axis=x],598,80,-2
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],598,81,-4
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],598,81,-3
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],598,81,-2
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],598,82,-4
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],598,82,-3
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],598,82,-2
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],598,83,-4
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],598,83,-3
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],598,83,-2
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],598,83,-1
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],598,83,0
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],598,84,-4
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],598,84,-3
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],598,84,-2
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],598,84,-1
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],598,84,0
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],598,85,-4
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],598,85,-3
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],598,85,-2
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],598,85,-1
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],598,85,0
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],598,86,-2
minecraft:oak_log[axis=y],599,72,-2
minecraft:oak_log[axis=y],599,73,-2
minecraft:oak_log[axis=y],599,74,-2
minecraft:oak_log[axis=y],599,75,-2
minecraft:oak_log[axis=y],599,76,-2
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],599,77,-4
minecraft:oak_log[axis=y],599,77,-2
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],599,78,-6
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],599,78,-5
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],599,78,-4
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],599,78,-3
minecraft:oak_log[axis=y],599,78,-2
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],599,79,-6
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],599,79,-5
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],599,79,-4
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],599,79,-3
minecraft:oak_log[axis=y],599,79,-2
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],599,80,-6
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],599,80,-5
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],599,80,-4
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],599,80,-3
minecraft:oak_log[axis=y],599,80,-2
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],599,81,-4
minecraft:oak_log[axis=y],599,81,-2
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],599,81,-1
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],599,81,0
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],599,82,-3
minecraft:oak_log[axis=y],599,82,-2
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],599,82,-1
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],599,82,0
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],599,83,-4
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],599,83,-3
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],599,83,-2
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],599,83,-1
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],599,83,0
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],599,84,-4
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],599,84,-3
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],599,84,-2
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],599,84,-1
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],599,84,0
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],599,85,-4
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],599,85,-3
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],599,85,-2
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],599,85,-1
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],599,85,0
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],599,86,-3
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],599,86,-2
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],599,86,-1
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],600,77,-5
minecraft:oak_log[axis=z],600,77,-4
minecraft:oak_log[axis=x],600,77,-3
minecraft:oak_log[axis=x],600,77,-2
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],600,78,-6
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],600,78,-5
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],600,78,-4
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],600,78,-3
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],600,78,-2
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],600,79,-6
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],600,79,-5
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],600,79,-4
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],600,79,-3
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],600,79,-2
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],600,80,-6
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],600,80,-5
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],600,80,-4
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],600,80,-3
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],600,80,-2
minecraft:oak_log[axis=x],600,80,-1
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],600,81,-5
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],600,81,-4
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],600,81,-3
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],600,81,-2
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],600,81,-1
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],600,81,0
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],600,81,1
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],600,82,-3
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],600,82,-2
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],600,82,-1
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],600,82,0
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],600,82,1
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],600,83,-4
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],600,83,-3
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],600,83,-2
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],600,83,-1
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],600,83,0
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],600,83,1
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],600,84,-4
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],600,84,-3
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],600,84,-2
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],600,84,-1
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],600,84,0
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],600,85,-4
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],600,85,-3
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],600,85,-2
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],600,85,-1
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],600,85,0
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],600,86,-2
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],601,77,-4
minecraft:oak_log[axis=x],601,77,-3
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],601,78,-6
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],601,78,-5
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],601,78,-4
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],601,78,-3
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],601,78,-2
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],601,79,-6
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],601,79,-5
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],601,79,-4
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],601,79,-3
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],601,79,-2
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],601,80,-6
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],601,80,-5
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],601,80,-4
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],601,80,-3
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],601,80,-2
minecraft:oak_log[axis=x],601,80,-1
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],601,80,0
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],601,81,-5
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],601,81,-4
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],601,81,-3
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],601,81,-2
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],601,81,-1
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],601,81,0
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],601,81,1
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],601,82,-3
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],601,82,-2
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],601,82,-1
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],601,82,0
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],601,82,1
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],601,83,-3
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],601,83,-2
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],601,83,-1
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],601,83,0
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],601,83,1
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],601,84,-3
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],601,84,-2
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],601,84,-1
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],601,84,0
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],601,85,-3
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],601,85,-2
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],601,85,-1
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],602,78,-5
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],602,78,-4
minecraft:oak_log[axis=x],602,78,-3
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],602,79,-6
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],602,79,-5
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],602,79,-4
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],602,79,-3
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],602,79,-2
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],602,80,-6
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],602,80,-5
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],602,80,-4
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],602,80,-3
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],602,80,-2
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],602,80,-1
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],602,81,-6
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],602,81,-5
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],602,81,-4
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],602,81,-3
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],602,81,-2
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],602,81,-1
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],602,81,0
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],602,81,1
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],602,82,-4
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],602,82,-3
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],602,82,-2
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],602,82,-1
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],602,82,0
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],602,82,1
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],602,83,-3
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],602,83,-2
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],602,83,-1
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],602,83,0
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],602,83,1
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],602,84,-1
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],603,78,-5
minecraft:oak_log[axis=x],603,78,-4
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],603,78,-3
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],603,79,-6
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],603,79,-5
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],603,79,-4
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],603,79,-3
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],603,79,-2
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],603,80,-6
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],603,80,-5
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],603,80,-4
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],603,80,-3
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],603,80,-2
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],603,81,-6
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],603,81,-5
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],603,81,-4
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],603,81,-3
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],603,81,-2
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],603,81,-1
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],603,81,0
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],603,82,-5
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],603,82,-4
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],603,82,-3
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],603,82,-2
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],603,82,-1
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],603,82,0
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],603,83,-2
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],603,83,-1
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],603,83,0
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],604,78,-4
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],604,79,-6
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],604,79,-5
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],604,79,-4
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],604,79,-3
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],604,79,-2
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],604,80,-6
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],604,80,-5
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],604,80,-4
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],604,80,-3
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],604,80,-2
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],604,81,-6
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],604,81,-5
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],604,81,-4
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],604,81,-3
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],604,81,-2
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],604,82,-4
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],605,79,-5
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],605,79,-4
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],605,79,-3
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],605,80,-5
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],605,80,-4
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],605,80,-3
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],605,81,-5
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],605,81,-4
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],605,81,-3
