origin_block;579,70,79
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],577,81,77
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],577,81,78
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],577,81,79
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],577,82,76
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],577,82,77
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],577,82,78
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],577,82,79
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],577,82,80
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],577,83,78
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],577,83,79
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],577,83,80
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],577,84,78
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],577,84,79
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],577,84,80
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],578,76,78
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],578,76,79
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],578,76,80
minecraft:oak_log[axis=x],578,77,78
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],578,77,79
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],578,77,80
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],578,78,77
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],578,78,78
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],578,78,79
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],578,78,80
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],578,79,75
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],578,79,76
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],578,79,77
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],578,79,78
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],578,79,79
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],578,80,75
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],578,80,76
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],578,80,77
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],578,80,78
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],578,80,79
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],578,80,80
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],578,80,81
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],578,81,75
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],578,81,76
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],578,81,77
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],578,81,78
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],578,81,79
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],578,81,80
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],578,81,81
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],578,82,77
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],578,82,78
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],578,82,79
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],578,82,80
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],578,82,81
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],578,83,77
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],578,83,78
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],578,83,79
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],578,83,80
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],578,83,81
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],578,84,77
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],578,84,78
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],578,84,79
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],578,84,80
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],578,84,81
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],578,85,79
minecraft:oak_log[axis=y],579,70,79
minecraft:oak_log[axis=y],579,71,79
minecraft:oak_log[axis=y],579,72,79
minecraft:oak_log[axis=y],579,73,79
minecraft:oak_log[axis=y],579,74,79
minecraft:oak_log[axis=y],579,75,79
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],579,76,77
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],579,76,78
minecraft:oak_log[axis=y],579,76,79
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],579,76,80
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],579,76,81
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],579,77,77
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],579,77,78
minecraft:oak_log[axis=y],579,77,79
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],579,77,80
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],579,77,81
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],579,78,77
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],579,78,78
minecraft:oak_log[axis=y],579,78,79
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],579,78,80
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],579,78,81
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],579,79,76
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],579,79,77
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],579,79,78
minecraft:oak_log[axis=y],579,79,79
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],579,79,80
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],579,80,76
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],579,80,77
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],579,80,78
minecraft:oak_log[axis=y],579,80,79
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],579,80,80
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],579,80,81
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],579,80,82
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],579,81,76
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],579,81,77
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],579,81,78
minecraft:oak_log[axis=y],579,81,79
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],579,81,80
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],579,81,81
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],579,81,82
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],579,81,83
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],579,82,77
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],579,82,78
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],579,82,79
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],579,82,80
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],579,82,81
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],579,82,82
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],579,82,83
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],579,83,77
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],579,83,78
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],579,83,79
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],579,83,80
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],579,83,81
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],579,83,82
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],579,83,83
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],579,84,77
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],579,84,78
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],579,84,79
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],579,84,80
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],579,84,81
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],579,85,78
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],579,85,79
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],579,85,80
minecraft:oak_log[axis=x],580,75,78
minecraft:oak_log[axis=x],580,75,79
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],580,75,80
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],580,76,77
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],580,76,78
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],580,76,79
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],580,76,80
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],580,76,81
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],580,77,77
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],580,77,78
minecraft:oak_log[axis=x],580,77,79
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],580,77,80
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],580,77,81
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],580,78,76
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],580,78,77
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],580,78,78
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],580,78,79
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],580,78,80
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],580,78,81
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],580,79,76
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],580,79,77
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],580,79,78
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],580,79,79
minecraft:oak_log[axis=x],580,79,80
minecraft:oak_log[axis=z],580,79,81
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],580,80,76
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],580,80,77
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],580,80,78
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],580,80,79
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],580,80,80
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],580,80,81
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],580,80,82
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],580,81,78
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],580,81,79
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],580,81,80
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],580,81,81
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],580,81,82
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],580,81,83
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],580,81,84
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],580,82,77
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],580,82,78
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],580,82,79
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],580,82,80
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],580,82,81
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],580,82,82
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],580,82,83
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],580,82,84
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],580,83,77
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],580,83,78
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],580,83,79
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],580,83,80
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],580,83,81
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],580,83,82
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],580,83,83
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],580,83,84
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],580,84,77
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],580,84,78
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],580,84,79
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],580,84,80
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],580,84,81
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],580,84,82
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],580,85,79
minecraft:oak_log[axis=x],581,75,78
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],581,75,79
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],581,76,77
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],581,76,78
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],581,76,79
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],581,76,80
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],581,76,81
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],581,77,75
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],581,77,76
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],581,77,77
minecraft:oak_log[axis=x],581,77,78
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],581,77,79
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],581,77,80
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],581,77,81
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],581,78,75
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],581,78,76
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],581,78,77
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],581,78,78
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],581,78,79
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],581,78,80
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],581,78,81
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],581,79,75
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],581,79,76
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],581,79,77
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],581,79,78
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],581,79,79
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],581,79,80
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],581,80,76
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],581,80,77
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],581,80,78
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],581,80,79
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],581,80,80
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],581,80,81
minecraft:oak_log[axis=z],581,80,82
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],581,80,83
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],581,81,77
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],581,81,78
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],581,81,79
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],581,81,80
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],581,81,81
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],581,81,82
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],581,81,83
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],581,81,84
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],581,82,78
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],581,82,79
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],581,82,80
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],581,82,81
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],581,82,82
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],581,82,83
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],581,82,84
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],581,83,78
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],581,83,79
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],581,83,80
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],581,83,81
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],581,83,82
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],581,83,83
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],581,83,84
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],581,84,78
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],581,84,79
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],581,84,80
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],581,84,81
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],581,84,82
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],581,84,83
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],582,76,76
minecraft:oak_log[axis=x],582,76,77
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],582,76,78
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],582,76,79
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],582,76,80
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],582,77,74
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],582,77,75
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],582,77,76
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],582,77,77
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],582,77,78
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],582,77,79
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],582,77,80
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],582,78,74
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],582,78,75
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],582,78,76
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],582,78,77
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],582,78,78
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],582,78,79
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],582,78,80
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],582,79,74
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],582,79,75
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],582,79,76
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],582,79,77
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],582,79,78
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],582,79,79
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],582,79,80
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],582,80,76
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],582,80,77
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],582,80,78
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],582,80,79
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],582,80,80
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],582,80,81
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],582,80,82
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],582,81,78
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],582,81,79
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],582,81,80
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],582,81,81
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],582,81,82
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],582,81,83
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],582,81,84
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],582,82,79
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],582,82,80
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],582,82,81
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],582,82,82
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],582,82,83
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],582,82,84
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],582,83,80
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],582,83,81
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],582,83,82
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],582,83,83
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],582,83,84
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],582,84,82
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],583,76,75
minecraft:oak_log[axis=x],583,76,76
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],583,76,77
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],583,77,74
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],583,77,75
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],583,77,76
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],583,77,77
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],583,77,78
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],583,78,74
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],583,78,75
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],583,78,76
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],583,78,77
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],583,78,78
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],583,78,79
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],583,79,74
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],583,79,75
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],583,79,76
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],583,79,77
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],583,79,78
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],583,79,79
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],583,80,75
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],583,80,76
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],583,80,77
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],583,80,78
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],583,80,79
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],583,81,81
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],583,81,82
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],583,81,83
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],583,82,81
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],583,82,82
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],583,82,83
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],583,83,81
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],583,83,82
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],583,83,83
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],584,76,76
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],584,77,74
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],584,77,75
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],584,77,76
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],584,77,77
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],584,77,78
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],584,78,74
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],584,78,75
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],584,78,76
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],584,78,77
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],584,78,78
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],584,79,74
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],584,79,75
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],584,79,76
